event	h	id
model	30.80721081716713	2-03
v_choice	3.448365528748505	2-03
d_gene	2.038015537982743	2-03
j_choice	2.467894281253219	2-03
v_3_del	2.893053604059507	2-03
d_3_del	2.2373326135882112	2-03
d_5_del	2.9993209480768357	2-03
j_5_del	2.688715155007338	2-03
vd_ins	2.0534682185627373	2-03
dj_ins	1.9632517193867178	2-03
vd_dinucl	4.152091607090777	2-03
dj_dinucl	3.8657016034105403	2-03
model	29.557493838247503	2-04
v_choice	3.4648243374935364	2-04
d_gene	2.0531601141936235	2-04
j_choice	2.4023106082592554	2-04
v_3_del	2.896397812967145	2-04
d_3_del	2.1383979160541244	2-04
d_5_del	3.1053767233985257	2-04
j_5_del	2.7109231207076134	2-04
vd_ins	2.0117985014884257	2-04
dj_ins	1.7929782937957819	2-04
vd_dinucl	4.1340625383748835	2-04
dj_dinucl	2.8472638715145937	2-04
model	29.408778750879176	2-05
v_choice	3.5125009663904336	2-05
d_gene	2.0532894563815987	2-05
j_choice	2.4266870093382593	2-05
v_3_del	2.8390591291442098	2-05
d_3_del	2.1328504774788053	2-05
d_5_del	2.958071420842843	2-05
j_5_del	2.5896509946366337	2-05
vd_ins	1.9839283041270768	2-05
dj_ins	1.9085271799244585	2-05
vd_dinucl	3.7856645829371645	2-05
dj_dinucl	3.218549229677691	2-05
model	31.037603199379955	2-06
v_choice	3.5062514424817857	2-06
d_gene	2.0605524085837885	2-06
j_choice	2.4328270487708745	2-06
v_3_del	2.8673902273513936	2-06
d_3_del	2.09746783349061	2-06
d_5_del	3.030863636421377	2-06
j_5_del	2.689813003223298	2-06
vd_ins	2.1002742762424913	2-06
dj_ins	1.8890616721541347	2-06
vd_dinucl	4.89178924935633	2-06
dj_dinucl	3.4713124013038743	2-06
