event	id	n	p
dj_ins	56	0	0.51338
dj_ins	56	1	0.27606
dj_ins	56	2	0.0970713
dj_ins	56	3	0.0313722
dj_ins	56	4	0.0504999
dj_ins	56	5	0.0146545
dj_ins	56	6	0.0096184
dj_ins	56	7	0.00334459
dj_ins	56	8	3.75679e-4
dj_ins	56	9	6.80787e-4
dj_ins	56	10	3.05871e-4
dj_ins	56	11	0.00105777
dj_ins	56	12	1.69222e-4
dj_ins	56	13	3.00994e-4
dj_ins	56	14	4.95813e-6
dj_ins	56	15	2.2782e-4
dj_ins	56	16	2.05493e-5
dj_ins	56	17	5.8177e-7
dj_ins	56	18	2.22078e-9
dj_ins	56	19	9.42785e-13
dj_ins	56	20	3.64145e-25
dj_ins	56	21	2.08874e-34
dj_ins	56	22	0
dj_ins	56	23	2.14311e-4
dj_ins	56	24	8.94299e-10
dj_ins	56	25	0
dj_ins	56	26	0
dj_ins	56	27	1.23964e-8
dj_ins	56	28	1.19768e-7
dj_ins	56	29	0
dj_ins	56	30	0
dj_ins	56	31	5.70774e-8
dj_ins	56	32	2.00434e-9
dj_ins	56	33	0
dj_ins	56	34	0
dj_ins	56	35	0
dj_ins	56	36	0
dj_ins	56	37	0
dj_ins	56	38	0
dj_ins	56	39	0
dj_ins	56	40	9.17598e-10
dj_ins	56	41	2.1212e-4
dj_ins	56	42	1.12978e-6
dj_ins	56	43	2.53242e-8
dj_ins	56	44	3.52109e-16
dj_ins	56	45	0
dj_ins	56	46	0
dj_ins	56	47	0
dj_ins	56	48	2.10597e-4
dj_ins	56	49	8.61351e-7
dj_ins	56	50	1.72748e-6
dj_ins	56	51	8.742e-10
dj_ins	56	52	0
dj_ins	56	53	0
dj_ins	56	54	0
dj_ins	56	55	0
dj_ins	56	56	0
dj_ins	56	57	0
dj_ins	56	58	0
dj_ins	56	59	2.06111e-4
dj_ins	56	60	7.06453e-6
vd_ins	56	0	0.42946
vd_ins	56	1	0.252013
vd_ins	56	2	0.187804
vd_ins	56	3	0.0762942
vd_ins	56	4	0.0286988
vd_ins	56	5	0.0116553
vd_ins	56	6	0.00424838
vd_ins	56	7	0.00288053
vd_ins	56	8	0.00323705
vd_ins	56	9	9.29238e-5
vd_ins	56	10	1.85636e-6
vd_ins	56	11	1.06453e-5
vd_ins	56	12	3.97573e-5
vd_ins	56	13	4.93055e-4
vd_ins	56	14	1.73063e-6
vd_ins	56	15	5.31239e-4
vd_ins	56	16	3.28193e-4
vd_ins	56	17	3.95666e-4
vd_ins	56	18	4.98106e-5
vd_ins	56	19	2.67415e-6
vd_ins	56	20	5.73506e-4
vd_ins	56	21	7.56681e-7
vd_ins	56	22	9.7221e-5
vd_ins	56	23	2.87096e-6
vd_ins	56	24	2.0237e-4
vd_ins	56	25	4.50518e-5
vd_ins	56	26	4.03331e-6
vd_ins	56	27	1.98011e-4
vd_ins	56	28	3.56675e-8
vd_ins	56	29	2.20565e-4
vd_ins	56	30	3.21977e-6
vd_ins	56	31	2.73651e-10
vd_ins	56	32	4.52354e-14
vd_ins	56	33	4.16118e-34
vd_ins	56	34	2.36386e-6
vd_ins	56	35	1.35178e-6
vd_ins	56	36	3.93462e-4
vd_ins	56	37	1.61141e-5
vd_ins	56	38	4.78229e-8
vd_ins	56	39	3.61581e-9
vd_ins	56	40	2.70472e-14
vd_ins	56	41	3.34216e-14
vd_ins	56	42	0
vd_ins	56	43	0
vd_ins	56	44	0
vd_ins	56	45	0
vd_ins	56	46	0
vd_ins	56	47	0
vd_ins	56	48	0
vd_ins	56	49	0
vd_ins	56	50	0
vd_ins	56	51	0
vd_ins	56	52	0
vd_ins	56	53	0
vd_ins	56	54	0
vd_ins	56	55	0
vd_ins	56	56	0
vd_ins	56	57	0
vd_ins	56	58	0
vd_ins	56	59	0
vd_ins	56	60	0
j_5_del	56	-6	0
j_5_del	56	-5	1.2313699380729112e-5
j_5_del	56	-4	4.309871133386608e-4
j_5_del	56	-3	0.003137023259491194
j_5_del	56	-2	0.011570439380237739
j_5_del	56	-1	0.07474642134999096
j_5_del	56	0	0.16376067422724422
j_5_del	56	1	0.11744328469643782
j_5_del	56	2	0.09554996364328026
j_5_del	56	3	0.1787083739716982
j_5_del	56	4	0.13650699787283826
j_5_del	56	5	0.08226807255289717
j_5_del	56	6	0.028661093851745062
j_5_del	56	7	0.008614716105928672
j_5_del	56	8	0.07968431650661409
j_5_del	56	9	0.0033884142917977814
j_5_del	56	10	0.00249587529237692
j_5_del	56	11	0.001582786135131511
j_5_del	56	12	0.0015531345229551654
j_5_del	56	13	1.7877211164070862e-4
j_5_del	56	14	6.424748979240534e-4
j_5_del	56	15	4.5317495129233423e-5
j_5_del	56	16	4.6781277322439734e-4
j_5_del	56	17	3.483929965540318e-6
j_5_del	56	18	1.1741865575298938e-4
j_5_del	56	19	7.994719783865955e-4
j_5_del	56	20	0.0076296653208719825
v_3_del	56	-6	4.2265933476955e-4
v_3_del	56	-5	3.7018675607982515e-4
v_3_del	56	-4	1.430299401451756e-4
v_3_del	56	-3	0.002327554322459507
v_3_del	56	-2	0.051148877412157144
v_3_del	56	-1	0.06760873719692001
v_3_del	56	0	0.1253292457898
v_3_del	56	1	0.14846172042758
v_3_del	56	2	0.11982445387657002
v_3_del	56	3	0.23296179602841557
v_3_del	56	4	0.06690689165942999
v_3_del	56	5	0.11888614316231999
v_3_del	56	6	0.012797758421331807
v_3_del	56	7	0.03209197081350826
v_3_del	56	8	0.007772470284617791
v_3_del	56	9	0.002089311643431743
v_3_del	56	10	0.0019269334395197492
v_3_del	56	11	0.001233381716293552
v_3_del	56	12	0.0016621700582347748
v_3_del	56	13	8.834944208691253e-4
v_3_del	56	14	4.610288062767005e-4
v_3_del	56	15	2.4658358279757e-5
v_3_del	56	16	5.694697050000018e-6
v_3_del	56	17	8.1700452617e-4
v_3_del	56	18	6.27759610791174e-4
v_3_del	56	19	2.1507088747108418e-4
v_3_del	56	20	0.0029995934689515994
d_3_del	56	-6	3.8521281915713374e-4
d_3_del	56	-5	1.9690949447130943e-4
d_3_del	56	-4	8.250429287949455e-4
d_3_del	56	-3	0.00301501413591108
d_3_del	56	-2	0.032792245444280096
d_3_del	56	-1	0.05898484748952856
d_3_del	56	0	0.16669997419721316
d_3_del	56	1	0.13586889169003802
d_3_del	56	2	0.13481934726523853
d_3_del	56	3	0.11563020506963366
d_3_del	56	4	0.08835396652528564
d_3_del	56	5	0.07413308821917135
d_3_del	56	6	0.05097707385347024
d_3_del	56	7	0.026908354971754308
d_3_del	56	8	0.02337489648168184
d_3_del	56	9	0.018368212691783434
d_3_del	56	10	0.0054289294070208015
d_3_del	56	11	0.001265945257158181
d_3_del	56	12	0.0026919487643904567
d_3_del	56	13	9.590427909795092e-4
d_3_del	56	14	7.898240175795365e-4
d_3_del	56	15	0.00112946960250606
d_3_del	56	16	0.0015201242337071613
d_3_del	56	17	0.010308837477377252
d_3_del	56	18	0.0023857630456189487
d_3_del	56	19	0.0011953213982008526
d_3_del	56	20	0.0033423612794438095
d_3_del	56	21	0.005430878354318932
d_3_del	56	22	0.009535072958000572
d_3_del	56	23	1.0458863156883866e-4
d_3_del	56	24	6.717254611554425e-5
d_3_del	56	25	1.880838317413737e-4
d_3_del	56	26	8.873710033173131e-4
d_3_del	56	27	5.991517626628502e-4
d_3_del	56	28	0.0016942457990843647
d_3_del	56	29	9.806129959490817e-4
d_3_del	56	30	5.396991316958481e-4
d_3_del	56	31	9.790184678794567e-4
d_3_del	56	32	0.0011038815880158443
d_3_del	56	33	0
d_3_del	56	34	0
d_3_del	56	35	0
d_3_del	56	36	0
d_3_del	56	37	0
d_5_del	56	-6	0.012479298455233176
d_5_del	56	-5	0.00817541352364074
d_5_del	56	-4	0.0043817112795294984
d_5_del	56	-3	0.006113490809747781
d_5_del	56	-2	0.009185789843759238
d_5_del	56	-1	0.01963790733537141
d_5_del	56	0	0.12654874712752734
d_5_del	56	1	0.09790239361891503
d_5_del	56	2	0.11517748609045261
d_5_del	56	3	0.20089180297461245
d_5_del	56	4	0.1196304018528509
d_5_del	56	5	0.10144644101482306
d_5_del	56	6	0.05389191816671064
d_5_del	56	7	0.024185998322345213
d_5_del	56	8	0.024163879811385257
d_5_del	56	9	0.009699187682068618
d_5_del	56	10	0.008566914624008921
d_5_del	56	11	0.005875444800448747
d_5_del	56	12	0.0028445410822609983
d_5_del	56	13	0.003979052365564292
d_5_del	56	14	0.004028732954798302
d_5_del	56	15	0.0011831588812630733
d_5_del	56	16	7.430618280368599e-4
d_5_del	56	17	5.43731193790704e-4
d_5_del	56	18	0.0010255326126115969
d_5_del	56	19	9.457881435280213e-4
d_5_del	56	20	6.182703266270492e-4
d_5_del	56	21	0.003037966730362846
d_5_del	56	22	0.002472300464974189
d_5_del	56	23	0.0022436536250476894
d_5_del	56	24	0.002218058461501384
d_5_del	56	25	0.0038723904323722767
d_5_del	56	26	0.006750136699341376
d_5_del	56	27	0
d_5_del	56	28	0
d_5_del	56	29	0
d_5_del	56	30	0
d_5_del	56	31	0
d_5_del	56	32	0
d_5_del	56	33	0
d_5_del	56	34	0
d_5_del	56	35	0
d_5_del	56	36	0
d_5_del	56	37	0
